epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50644,1.66945,3.80183,1.63277,0.85346,0.34969,0.68168,0.23905,1.66488,3.02309,1.522,0.00048,0.00048,0.00048
2,4.19018,1.59552,2.9358,1.41099,0.86492,0.51238,0.72723,0.26413,1.58613,2.92213,1.38389,0.000970298,0.000970298,0.000970298
3,5.90295,1.75073,6.14197,1.43496,0.33554,0.42,0.31777,0.10387,1.88409,3.25272,1.54372,0.0014507,0.0014507,0.0014507
4,7.60818,1.95693,4.89194,1.66535,0.52647,0.35588,0.38523,0.13588,1.8041,3.26858,1.48896,0.00192119,0.00192119,0.00192119
5,9.35531,1.82578,4.25056,1.49726,0.0015,0.44,0.11813,0.02822,3.38004,4.41092,2.61254,0.0019208,0.0019208,0.0019208
6,11.0742,1.73174,3.62225,1.468,0.03073,0.92,0.37792,0.12799,1.90531,3.29963,1.67813,0.001901,0.001901,0.001901
7,12.8484,1.6833,3.45256,1.41395,0.35111,0.42,0.39618,0.14867,1.79514,3.06014,1.65676,0.0018812,0.0018812,0.0018812
8,14.5181,1.67931,3.16339,1.49647,0.35111,0.42,0.39618,0.14867,1.79514,3.06014,1.65676,0.0018614,0.0018614,0.0018614
9,16.2232,1.60052,2.8579,1.44762,0.66769,0.66,0.69841,0.24969,1.69606,3.13212,1.66338,0.0018416,0.0018416,0.0018416
10,17.9788,1.49182,3.23297,1.34364,0.58236,0.6,0.63814,0.24931,1.77074,2.59329,1.60875,0.0018218,0.0018218,0.0018218
11,19.7046,1.77027,2.68471,1.49919,0.53288,0.58,0.56871,0.25693,1.68551,2.26384,1.63891,0.001802,0.001802,0.001802
12,21.4235,1.58284,2.59276,1.313,0.53288,0.58,0.56871,0.25693,1.68551,2.26384,1.63891,0.0017822,0.0017822,0.0017822
13,23.1923,1.57534,2.43297,1.38821,0.5766,0.66,0.64732,0.28749,1.53456,2.67707,1.49561,0.0017624,0.0017624,0.0017624
14,24.9154,1.5206,2.54198,1.34069,0.69341,0.67853,0.69918,0.32505,1.5033,2.64575,1.40331,0.0017426,0.0017426,0.0017426
15,26.6936,1.38309,2.08506,1.24924,0.70952,0.72,0.71958,0.35753,1.62015,2.28397,1.41191,0.0017228,0.0017228,0.0017228
16,28.462,1.46308,2.40205,1.3109,0.49154,0.5,0.47577,0.20795,1.67583,2.72412,1.36211,0.001703,0.001703,0.001703
17,30.1667,1.47799,2.5372,1.3144,0.49154,0.5,0.47577,0.20795,1.67583,2.72412,1.36211,0.0016832,0.0016832,0.0016832
18,31.831,1.40919,2.53312,1.26119,0.52359,0.76,0.66577,0.37939,1.41447,2.13719,1.34343,0.0016634,0.0016634,0.0016634
19,33.5061,1.44971,2.16217,1.3771,0.62882,0.62,0.63702,0.3499,1.50371,2.22309,1.45763,0.0016436,0.0016436,0.0016436
20,35.1694,1.40821,2.21486,1.31896,0.67566,0.66,0.68749,0.36708,1.46927,2.05268,1.37131,0.0016238,0.0016238,0.0016238
21,36.8018,1.54638,2.36882,1.33815,0.67566,0.66,0.68749,0.36708,1.46927,2.05268,1.37131,0.001604,0.001604,0.001604
22,38.5152,1.52821,2.16144,1.40375,0.53243,0.9,0.74011,0.41989,1.36637,2.59767,1.29697,0.0015842,0.0015842,0.0015842
23,40.233,1.19068,1.93587,1.18931,0.64093,0.85681,0.78782,0.45711,1.29322,2.5416,1.33929,0.0015644,0.0015644,0.0015644
24,42.0147,1.22997,1.83895,1.23919,0.77385,0.82128,0.87755,0.51034,1.20696,2.32285,1.30498,0.0015446,0.0015446,0.0015446
25,43.7787,1.23554,1.76126,1.22642,0.82299,0.82,0.87691,0.51546,1.16362,1.8556,1.27954,0.0015248,0.0015248,0.0015248
26,45.4694,1.26084,1.6378,1.23151,0.82299,0.82,0.87691,0.51546,1.16362,1.8556,1.27954,0.001505,0.001505,0.001505
27,47.1857,1.25615,1.76885,1.24718,0.86694,0.7819,0.91108,0.58461,1.1603,1.65487,1.25497,0.0014852,0.0014852,0.0014852
28,48.8979,1.23537,1.66,1.20644,0.85123,0.8,0.92345,0.57984,1.31521,1.56762,1.23638,0.0014654,0.0014654,0.0014654
29,50.6294,1.19623,2.14976,1.17609,0.8488,0.89823,0.93243,0.57693,1.23893,1.48727,1.21463,0.0014456,0.0014456,0.0014456
30,52.358,1.26016,1.75034,1.25563,0.8488,0.89823,0.93243,0.57693,1.23893,1.48727,1.21463,0.0014258,0.0014258,0.0014258
31,54.2108,1.25355,1.65017,1.27321,0.95703,0.89102,0.94215,0.63804,1.09456,1.37258,1.18356,0.001406,0.001406,0.001406
32,56.2056,1.28559,1.74585,1.28397,0.89745,0.8752,0.91878,0.59029,1.07888,1.35144,1.16298,0.0013862,0.0013862,0.0013862
